weak,strong
good,excellent
bad,inefficient
fast,efficient
slow,methodical
big,significant
small,minimal
hardworking,dedicated
smart,intelligent
know,understand
fix,resolve
help,assist
get,acquire
show,demonstrate
tell,communicate
make,create
work,operate
deal,manage
check,verify
start,initiate
finish,complete
look,analyze
use,utilize
increase,enhance
decrease,reduce
change,modify
plan,strategize
think,evaluate
try,attempt
meet,collaborate
lead,direct
run,execute
important,essential
nice,professional
okay,acceptable
better,improved
great,outstanding
cool,effective
strong,robust
weak,insufficient
easy,straightforward
hard,challenging
common,frequent
rare,uncommon
happy,satisfied
sad,disappointed
angry,frustrated
job,role
boss,supervisor
team,group
goal,objective
task,assignment
